id,categoria,titulo_oficial,archivo_oficial,url_pdf
ri_rcl,regimen_informativo,RI Cont. Mensual - Ratio de Cobertura de Liquidez,t-RI-RCL.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-RCL.pdf
ri_cr,regimen_informativo,RI Cont. Mensual - Reclamos,t-RI-CR.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-CR.pdf
ri_ai,regimen_informativo,RI Cont. Mensual - Relación para los activos inmovilizados y otros conceptos,t-RI-AI.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-AI.pdf
ri_saofe,regimen_informativo,RI Cont. Mensual - Seguimiento de anticipos y otras financiaciones de exportaciones.,t-RI-SAOFE.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-SAOFE.pdf
ri_secoexpo,regimen_informativo,RI Cont. Mensual - Seguimiento de las negociaciones de divisas de exportaciones de bienes.,t-RI-SECOEXPO.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-SECOEXPO.pdf
ri_spi,regimen_informativo,RI Cont. Mensual - Seguimiento de Pagos de Importaciones.,t-RI–SPI.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI–SPI.pdf
ri_tvf,regimen_informativo,RI Cont. Mensual - Títulos Valores,t-RI-TVF.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-TVF.pdf
ri_tii,regimen_informativo,RI Cont. Mensual - Transferencias Inmediatas Intraentidades,t-RI-TII.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-TII.pdf
ri_transpa,regimen_informativo,RI Cont. Mensual - Transparencia,t-RI-Transpa.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-Transpa.pdf
ri_sef,regimen_informativo,RI Cont. Mensual - Unidades de servicios de las entidades financieras,t-RI-SEF.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-SEF.pdf
ri_cc,regimen_informativo,RI para Cajas de Crédito - contable,t-ri-cc.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-ri-cc.pdf
ri_ccna,regimen_informativo,RI para Cajas de Crédito - Normas de Auditoría,t-RI-CcNA.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-CcNA.pdf
ri_ccpnp,regimen_informativo,RI para Cajas de Crédito - Plan de Negocios y Proyecciones,t-RI-CCPNP.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-CCPNP.pdf
ri_tsa,regimen_informativo,RI para supervisión,t-RI-TSA.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-TSA.pdf
